OBJECTID,BORO,TYPE,PROVIDER,LAT,LON,LOCATION_T,CITY
433,BK,Free,BPL,40.5926531297,-73.9886820957,Library,Brooklyn
434,QU,Free,QPL,40.7201684296,-73.7623041123,Library,Hollis
435,BK,Free,BPL,40.6197681963,-73.9332132562,Library,Brooklyn
436,BK,Free,BPL,40.6356942225,-73.9745947088,Library,Brooklyn
437,SI,Free,NYPL,40.6095774994,-74.1485024503,Library,Staten Island
438,QU,Free,QPL,40.7592451348,-73.7318266816,Library,Little Neck
439,QU,Free,QPL,40.6803113116,-73.7916786111,Library,Jamaica
440,QU,Free,QPL,40.7025766648,-73.8757971089,Library,Glendale
441,BX,Free,NYPL,40.8494940806,-73.9175775272,Library,Bronx
442,BK,Free,BPL,40.7069304247,-73.9575546134,Library,Brooklyn
443,BK,Free,BPL,40.6102566673,-73.9531058487,Library,Brooklyn
444,MN,Free,NYPL,40.8061604421,-73.9433155984,Library,New York
445,BX,Free,NYPL,40.8379589117,-73.9235396129,Library,Bronx
446,QU,Free,QPL,40.6869072882,-73.8248296985,Library,Richmond Hill
447,BK,Free,BPL,40.6682166933,-73.9834274329,Library,Brooklyn
448,BX,Free,NYPL,40.8299928753,-73.8750206002,Library,Bronx
449,QU,Free,QPL,40.7606431176,-73.9364719875,Library,Long Island City
450,QU,Free,QPL,40.745341713,-73.9097937387,Library,Woodside
451,QU,Free,QPL,40.7292529463,-73.7819089166,Library,Flushing
452,BK,Free,BPL,40.7045590639,-73.9396184214,Library,Brooklyn
453,BX,Free,NYPL,40.8206415647,-73.9046288601,Library,Bronx
454,QU,Free,QPL,40.6638044606,-73.8417968638,Library,Howard Beach
455,MN,Free,NYPL,40.7481246964,-73.9830630999,Library,New York
456,MN,Free,NYPL,40.7612533724,-73.9501658898,Library,New York
457,BX,Free,NYPL,40.8266092254,-73.8501814579,Library,Bronx
458,BK,Free,BPL,40.6818101974,-73.9561085144,Library,Brooklyn
459,BX,Free,NYPL,40.8229035714,-73.8190936365,Library,Bronx
460,QU,Free,QPL,40.6728752044,-73.7705902161,Library,Jamaica
461,QU,Free,QPL,40.7051723129,-73.902572375,Library,Ridgewood
462,QU,Free,QPL,40.604772113,-73.7520918927,Library,Far Rockaway
463,BK,Free,BPL,40.713644888,-73.9479357128,Library,Brooklyn
464,QU,Free,QPL,40.6955401466,-73.7902273917,Library,Jamaica
465,BK,Free,BPL,40.6159160785,-73.9760404894,Library,Brooklyn
466,BK,Free,BPL,40.6163731106,-74.0313694054,Library,Brooklyn
467,BX,Free,NYPL,40.8543469054,-73.8878894289,Library,Bronx
468,QU,Free,QPL,40.6007321052,-73.8200526582,Library,Broad Channel
469,SI,Free,NYPL,40.5665301462,-74.1385338765,Library,Staten Island
470,MN,Free,NYPL,40.7531840458,-73.9821581041,Library,New York
471,MN,Free,NYPL,40.7299829146,-74.0053310145,Library,New York
472,QU,Free,QPL,40.6747769261,-73.8092618174,Library,South Ozone Park
473,QU,Free,QPL,40.7111856291,-73.8536727785,Library,Forest Hills
474,MN,Free,NYPL,40.7346055255,-73.9991692843,Library,New York
475,BK,Free,BPL,40.6557102014,-73.9149383856,Library,Brooklyn
476,QU,Free,QPL,40.6808618482,-73.8464887284,Library,Ozone Park
477,BK,Free,BPL,40.664453793,-73.9052223115,Library,Brooklyn
478,BK,Free,BPL,40.6408035472,-73.9659650781,Library,Brooklyn
479,QU,Free,QPL,40.700765268,-73.8316254169,Library,Richmond Hill
480,MN,Free,NYPL,40.7380871204,-73.9820488896,Library,New York
481,MN,Free,NYPL,40.7144564597,-73.9885372705,Library,New York
482,BK,Free,BPL,40.683004902,-73.9348054703,Library,Brooklyn
483,MN,Free,NYPL,40.8146886279,-73.9409529891,Library,New York
484,BX,Free,NYPL,40.8440019118,-73.9100871445,Library,Bronx
485,BK,Free,BPL,40.632636993,-73.9199848808,Library,Brooklyn
486,BX,Free,NYPL,40.870139703,-73.8450642753,Library,Bronx
487,SI,Free,NYPL,40.5719318484,-74.1119581475,Library,Staten Island
488,BX,Free,NYPL,40.8910850654,-73.8595812441,Library,Bronx
489,BK,Free,BPL,40.619868421,-73.9170212071,Library,Brooklyn
490,SI,Free,NYPL,40.6345089423,-74.1148218734,Library,Staten Island
491,MN,Free,NYPL,40.7438226298,-73.9799076544,Library,New York
492,MN,Free,NYPL,40.7404654556,-73.9933569112,Library,New York
493,BX,Free,NYPL,40.8690393929,-73.9011937916,Library,Bronx
494,QU,Free,QPL,40.758529267,-73.9186233204,Library,Long Island City
495,QU,Free,QPL,40.7385814574,-73.8767587664,Library,Elmhurst
496,QU,Free,QPL,40.7059620938,-73.7944075307,Library,Jamaica
497,SI,Free,NYPL,40.5524232628,-74.1511116431,Library,Staten Island
498,MN,Free,NYPL,40.7136065153,-74.0078616724,Library,New York
499,MN,Free,NYPL,40.7193972838,-73.9796055959,Library,New York
500,BX,Free,NYPL,40.8186874033,-73.8941356433,Library,Bronx
501,BX,Free,NYPL,40.866804429,-73.8632224848,Library,Bronx
502,MN,Free,NYPL,40.7133330705,-73.9964898664,Library,New York
503,QU,Free,QPL,40.7601255812,-73.7683619807,Library,Bayside
504,QU,Free,QPL,40.5793908722,-73.8377356028,Library,Rockaway Park
505,BK,Free,BPL,40.5766377761,-73.9860619926,Library,Brooklyn
506,MN,Free,NYPL,40.8265670801,-73.9359395884,Library,New York
507,QU,Free,QPL,40.757803428,-73.939309302,Library,Long Island City
508,BX,Free,NYPL,40.8629806052,-73.8945028865,Library,Bronx
509,BX,Free,NYPL,40.8480291101,-73.8569578538,Library,Bronx
510,MN,Free,NYPL,40.7240963609,-73.995698993,Library,New York
511,MN,Free,NYPL,40.7540678756,-73.9735677168,Library,New York
512,MN,Free,Manhattan Down Alliance,40.7041015998,-74.0076981,Outdoor,New York
513,MN,Free,Manhattan Down Alliance,40.7036018001,-74.0074996996,Outdoor,New York
514,MN,Free,Manhattan Down Alliance,40.7033997,-74.0084000005,Outdoor,New York
515,MN,Free,Manhattan Down Alliance,40.7041016002,-74.0092009996,Outdoor,New York
516,MN,Free,Manhattan Down Alliance,40.7033004998,-74.0093002002,Outdoor,New York
517,MN,Free,Manhattan Down Alliance,40.7028998998,-74.0095978002,Outdoor,New York
518,MN,Free,Manhattan Down Alliance,40.7028008004,-74.0094985998,Outdoor,New York
519,MN,Free,Manhattan Down Alliance,40.7030983001,-74.0106963996,Outdoor,New York
520,MN,Free,Manhattan Down Alliance,40.7023010001,-74.0126038001,Outdoor,New York
521,MN,Free,Manhattan Down Alliance,40.7019005001,-74.0124969005,Outdoor,New York
522,MN,Free,Manhattan Down Alliance,40.7015990998,-74.0093001995,Outdoor,New York
523,MN,Free,Manhattan Down Alliance,40.7051009996,-74.0139998997,Outdoor,New York
524,MN,Free,Manhattan Down Alliance,40.7051009999,-74.0139008001,Outdoor,New York
525,MN,Free,Manhattan Down Alliance,40.7041015999,-74.0105971997,Outdoor,New York
526,MN,Free,Manhattan Down Alliance,40.7038994,-74.0103988997,Outdoor,New York
527,MN,Free,Manhattan Down Alliance,40.7043990997,-74.0101012997,Outdoor,New York
528,MN,Free,Manhattan Down Alliance,40.7042998996,-74.0102005003,Outdoor,New York
529,MN,Free,Manhattan Down Alliance,40.7079009996,-74.0121993994,Outdoor,New York
530,MN,Free,Manhattan Down Alliance,40.7086982997,-74.0130997003,Outdoor,New York
531,MN,Free,Manhattan Down Alliance,40.7130013004,-74.0118027004,Outdoor,New York
532,MN,Free,Manhattan Down Alliance,40.7132988003,-74.0118026998,Outdoor,New York
533,MN,Free,Manhattan Down Alliance,40.7081985002,-74.0121002005,Outdoor,New York
534,MN,Free,Manhattan Down Alliance,40.7080993998,-74.0119018998,Outdoor,New York
535,MN,Free,Manhattan Down Alliance,40.7080001998,-74.0118027001,Outdoor,New York
536,SI,Limited Free,Time Warner Cable,40.618237,-74.107213,Indoor,Staten Island
537,SI,Limited Free,Time Warner Cable,40.618237,-74.107213,Indoor,Staten Island
538,SI,Limited Free,Time Warner Cable,40.618237,-74.107213,Indoor,Staten Island
539,BK,Limited Free,Time Warner Cable,40.677193,-74.008723,Outdoor,Brooklyn
1162,MN,Free,Harlem,40.801846,-73.945137,Outdoor,New York
1163,MN,Free,Harlem,40.805974,-73.941244,Outdoor,New York
1164,MN,Free,Harlem,40.805971,-73.940566,Outdoor,New York
1165,MN,Free,Harlem,40.815347,-73.947576,Outdoor,New York
1166,MN,Free,Harlem,40.811568,-73.946537,Outdoor,New York
1167,MN,Free,Harlem,40.812871,-73.949346,Outdoor,New York
1168,MN,Free,Harlem,40.806297,-73.943912,Outdoor,New York
1169,MN,Free,Harlem,40.811684,-73.950042,Outdoor,New York
1170,MN,Free,Harlem,40.815936,-73.942971,Outdoor,New York
1171,MN,Free,Harlem,40.812181,-73.937834,Outdoor,New York
1172,MN,Free,Harlem,40.80349,-73.956094,Outdoor,New York
1173,MN,Free,Harlem,40.812186,-73.947955,Outdoor,New York
1174,MN,Free,Harlem,40.812598,-73.946296,Outdoor,New York
1175,MN,Free,Harlem,40.805058,-73.947815,Outdoor,New York
1176,MN,Free,Harlem,40.805228,-73.947675,Outdoor,New York
1177,MN,Free,Harlem,40.804279,-73.952533,Outdoor,New York
1178,MN,Free,Harlem,40.804169,-73.952133,Outdoor,New York
1179,MN,Free,Harlem,40.806858,-73.949726,Outdoor,New York
1180,MN,Free,Harlem,40.801137,-73.953778,Outdoor,New York
1181,MN,Free,Harlem,40.806016,-73.9524,Outdoor,New York
1182,MN,Free,Harlem,40.805429,-73.942537,Outdoor,New York
1183,MN,Free,Harlem,40.800479,-73.944696,Outdoor,New York
1184,MN,Free,Harlem,40.798728,-73.945598,Outdoor,New York
1185,MN,Free,Harlem,40.797893,-73.948786,Outdoor,New York
1186,MN,Free,Harlem,40.801527,-73.952822,Outdoor,New York
1187,MN,Free,Harlem,40.805393,-73.953661,Outdoor,New York
1188,MN,Free,Harlem,40.802337,-73.956706,Outdoor,New York
1189,MN,Free,Harlem,40.810975,-73.947029,Outdoor,New York
1190,MN,Free,Harlem,40.809398,-73.939561,Outdoor,New York
1191,MN,Free,Harlem,40.808843,-73.950495,Outdoor,New York
1192,MN,Free,Harlem,40.805302,-73.953054,Outdoor,New York
