BOROUGH,DEVELOPMENT,HOUSEHOLDS,HOUSEwKids,HOUSEbelowPLwKids,Kids,KidsBELOWPOVERTYLEVEL
BRONX,1010 EAST 178TH STREET,217,60,32,95,55
BRONX,1162-1176 WASHINGTON AVENUE,64,32,15,56,27
BRONX,1471 WATSON AVENUE,96,18,15,25,21
BRONX,ADAMS,916,372,229,659,445
BRONX,BAILEY AVENUE-WEST 193RD STREET,230,65,35,97,61
BRONX,BAYCHESTER,439,139,93,220,161
BRONX,BETANCES I,304,91,56,168,113
BRONX,BETANCES II13,51,16,13,30,23
BRONX,BETANCES II18,77,43,23,91,53
BRONX,BETANCES II9A,46,17,8,22,11
BRONX,BETANCES III13,22,15,12,41,35
BRONX,BETANCES III18,19,10,5,15,8
BRONX,BETANCES III_ 9A,26,11,8,31,23
BRONX,BETANCES IV,278,122,69,227,138
BRONX,BETANCES V,98,52,31,108,71
BRONX,BETANCES VI,153,59,29,96,54
BRONX,BOSTON ROAD PLAZA,232,0,0,0,0
BRONX,BOSTON SECOR,533,225,142,395,267
BRONX,BOYNTON AVENUE REHAB,80,31,20,46,30
BRONX,BRONX RIVER,1235,468,263,831,495
BRONX,BRONX RIVER ADDITION,224,2,0,3,0
BRONX,BRYANT AVENUE-EAST 174TH STREET,71,17,9,27,17
BRONX,BUTLER,1467,705,473,1426,1005
BRONX,CASTLE HILL,2016,818,459,1517,920
BRONX,CLAREMONT PARKWAY-FRANKLIN AVENUE,186,27,16,37,20
BRONX,CLAREMONT REHAB _GROUP 2_,104,52,36,81,55
BRONX,CLAREMONT REHAB _GROUP 3_,106,49,30,78,55
BRONX,CLAREMONT REHAB _GROUP 4_,149,69,36,93,50
BRONX,CLAREMONT REHAB _GROUP 5_,129,50,27,76,41
BRONX,CLASON POINT GARDENS,400,116,58,191,107
BRONX,COLLEGE AVENUE-EAST 165TH STREET,95,0,0,0,0
BRONX,DAVIDSON,174,62,33,143,83
BRONX,EAGLE AVENUE-EAST 163RD STREET,66,19,12,25,17
BRONX,EAST 152ND STREET-COURTLANDT AVENUE,219,34,20,54,32
BRONX,EAST 165TH STREET-BRYANT AVENUE,111,68,35,125,58
BRONX,EAST 173RD STREET-VYSE AVENUE,168,65,31,95,46
BRONX,EAST 180TH STREET-MONTEREY AVENUE,239,76,50,127,87
BRONX,EASTCHESTER GARDENS,872,324,169,565,315
BRONX,EDENWALD,2022,859,434,1446,782
BRONX,FHA REPOSSESSED HOUSES _GROUP II_,1,0,,0,
BRONX,FHA REPOSSESSED HOUSES _GROUP III_,1,1,,1,
BRONX,FHA REPOSSESSED HOUSES _GROUP IV_,1,0,,0,
BRONX,FOREST,1337,481,287,811,505
BRONX,FORT INDEPENDENCE STREET-HEATH AVENUE,339,115,58,181,108
BRONX,GLEBE AVENUE-WESTCHESTER AVENUE,131,1,0,2,0
BRONX,GUN HILL,728,219,126,341,210
BRONX,HIGHBRIDGE GARDENS,689,233,132,386,223
BRONX,HOE AVENUE-EAST 173RD STREET,64,21,17,35,28
BRONX,HUNTS POINT AVENUE REHAB,129,56,20,83,35
BRONX,JACKSON,867,391,217,695,423
BRONX,LONGFELLOW AVENUE REHAB,75,48,26,90,55
BRONX,MARBLE HILL,1667,524,289,765,451
BRONX,MCKINLEY,612,235,152,416,289
BRONX,MELROSE,1014,380,243,664,461
BRONX,MIDDLETOWN PLAZA,177,0,0,0,0
BRONX,MILL BROOK,1244,465,299,759,506
BRONX,MILL BROOK EXTENSION,124,50,31,82,52
BRONX,MITCHEL,1712,663,400,1151,741
BRONX,MONROE,1095,425,252,727,455
BRONX,MOORE,457,156,91,268,168
BRONX,MORRIS I,1070,471,268,894,547
BRONX,MORRIS II,788,332,202,569,365
BRONX,MORRISANIA,206,87,62,163,125
BRONX,MORRISANIA AIR RIGHTS,840,208,115,407,235
BRONX,MOTT HAVEN,987,433,243,766,467
BRONX,MURPHY,280,115,71,212,136
BRONX,PARKSIDE,871,290,151,403,231
BRONX,PATTERSON,1785,715,407,1190,705
BRONX,PELHAM PARKWAY,1258,391,191,583,296
BRONX,RANDALL AVENUE-BALCOM AVENUE,249,0,0,0,0
BRONX,SACK WERN,408,119,63,202,124
BRONX,SAINT MARY'S PARK,998,413,263,674,456
BRONX,SEDGWICK,783,215,120,302,180
BRONX,SOTOMAYOR HOUSES,1488,525,296,841,511
BRONX,SOUNDVIEW,1251,485,267,811,471
BRONX,SOUTH BRONX AREA _SITE 402_,112,66,34,138,76
BRONX,STEBBINS AVENUE-HEWITT PLACE,119,46,23,67,36
BRONX,TELLER AVENUE-EAST 166TH STREET,89,29,17,47,29
BRONX,THROGGS NECK,1173,477,274,757,453
BRONX,THROGGS NECK ADDITION,283,109,58,188,103
BRONX,TWIN PARKS EAST _SITE 9_,217,0,0,0,0
BRONX,TWIN PARKS WEST _SITES 1 _ 2_,307,135,83,251,169
BRONX,UNION AVENUE-EAST 163RD STREET,198,0,0,0,0
BRONX,UNION AVENUE-EAST 166TH STREET,119,47,18,72,31
BRONX,WEBSTER,603,261,175,464,328
BRONX,WEST FARMS ROAD REHAB,207,66,32,95,54
BRONX,WEST FARMS SQUARE CONVENTIONAL,20,10,4,15,7
BRONX,WEST TREMONT AVENUE-SEDGWICK AVENUE,148,0,0,0,0
BROOKLYN,104-14 TAPSCOTT STREET,30,14,9,17,12
BROOKLYN,303 VERNON AVENUE,232,85,46,153,94
BROOKLYN,572 WARREN STREET,198,46,25,72,44
BROOKLYN,ALBANY,816,316,206,528,364
BROOKLYN,ALBANY II,394,167,110,294,198
BROOKLYN,ARMSTRONG I,367,131,70,282,160
BROOKLYN,ARMSTRONG II,245,123,73,239,164
