"lon","lat"
-73.8330844,40.8693862
-67.1321012,18.0299225
NA,NA
NA,NA
NA,NA
-97.4867028,35.3395079
-73.9109977,40.8250663
-96.6130486,33.0151205
-73.8680556,40.8194444
NA,NA
-117.3564523,33.1977564
NA,NA
-91.6446088,39.4698481
-73.6033786,40.7151762
-81.4167376,41.6740951
-73.9646067,40.7041851
NA,NA
NA,NA
-88.4799272,42.5493829
-73.9845796,40.6825897
-71.0328284,42.3917638
NA,NA
-89.7495696,33.6837433
NA,NA
-73.9251966,40.828593
-73.9450749,40.7812666
149.111389,-35.3675
-82.8229943,39.8702454
-84.5037164,38.0405837
-73.7003357,41.2369207
105.318756,61.52401
NA,NA
-99.1207922,19.4682059
NA,NA
-77.9155395,35.7212689
NA,NA
-73.786025,40.6737751
-81.116215,37.1021861
NA,NA
NA,NA
-73.7919103,40.6808594
-90.3772809,38.5753408
