OBJECTID,Boro,Type,Provider,Lat,Long_,Location_T,City
848,QU,Limited Free,Time Warner Cable,40.771229,-73.80905,Outdoor TWC Aerial,Queens
849,QU,Limited Free,Time Warner Cable,40.769751,-73.808748,Outdoor TWC Aerial,Queens
850,QU,Limited Free,Time Warner Cable,40.769652,-73.807508,Outdoor TWC Aerial,Queens
851,QU,Limited Free,Time Warner Cable,40.769536,-73.805968,Outdoor TWC Aerial,Queens
852,QU,Limited Free,Time Warner Cable,40.770532,-73.805507,Outdoor TWC Aerial,Queens
853,MN,Limited Free,Time Warner Cable,40.754447,-73.984222,Outdoor,New York
854,BK,Free,AT&T,40.6943,-73.9988,Outdoor,Brooklyn
855,MN,Limited Free,Time Warner Cable,40.754317,-73.983094,Outdoor,New York
856,MN,Limited Free,Time Warner Cable,40.753164,-73.983964,Outdoor,New York
857,MN,Limited Free,Time Warner Cable,40.753689,-73.984769,Outdoor,New York
858,MN,Limited Free,Time Warner Cable,40.752776,-73.98164,Outdoor,New York
859,BK,Limited Free,Time Warner Cable,40.68063,-73.995382,Outdoor TWC Aerial,Brooklyn
860,BK,Limited Free,Time Warner Cable,40.68063,-73.995382,Outdoor TWC Aerial,Brooklyn
861,QU,Limited Free,Time Warner Cable,40.75141,-73.82472,Outdoor TWC Aerial,Queens
862,QU,Limited Free,Time Warner Cable,40.75014,-73.82284,Outdoor TWC Aerial,Queens
863,QU,Limited Free,Time Warner Cable,40.7437,-73.81732,Outdoor TWC Aerial,Queens
864,QU,Limited Free,Time Warner Cable,40.74366,-73.81396,Outdoor TWC Aerial,Queens
865,MN,Partner Site,Partner,40.7359999997,-73.9903999999,Outdoor,New York
866,MN,Partner Site,Partner,40.7537999998,-73.9833000001,Outdoor,New York
867,BK,Free,AT&T,40.693,-74.0019,Outdoor,Brooklyn
868,QU,Limited Free,Time Warner Cable,40.74549,-73.81357,Outdoor TWC Aerial,Queens
869,QU,Limited Free,Time Warner Cable,40.74243,-73.81151,Outdoor TWC Aerial,Queens
870,QU,Limited Free,Time Warner Cable,40.74849,-73.82121,Outdoor TWC Aerial,Queens
871,QU,Limited Free,Time Warner Cable,40.74381,-73.80419,Outdoor TWC Aerial,Queens
872,QU,Limited Free,Time Warner Cable,40.74191,-73.80816,Outdoor TWC Aerial,Queens
873,QU,Limited Free,Time Warner Cable,40.74589,-73.80342,Outdoor TWC Aerial,Queens
1072,BK,Free,Downtown Brooklyn,40.69186,-73.988721,Outdoor,Brooklyn
874,QU,Limited Free,Time Warner Cable,40.74726,-73.80286,Outdoor TWC Aerial,Queens
875,QU,Limited Free,Time Warner Cable,40.74914,-73.8027,Outdoor TWC Aerial,Queens
876,QU,Limited Free,Time Warner Cable,40.75,-73.80506,Outdoor TWC Aerial,Queens
877,QU,Limited Free,Time Warner Cable,40.75017,-73.80719,Outdoor TWC Aerial,Queens
878,QU,Limited Free,Time Warner Cable,40.74761,-73.8117,Outdoor TWC Aerial,Queens
879,BK,Free,AT&T,40.6915,-73.9755,Outdoor,Brooklyn
880,BK,Free,AT&T,40.6898,-73.9462,Outdoor,Brooklyn
881,QU,Limited Free,Time Warner Cable,40.74756,-73.81815,Outdoor TWC Aerial,Queens
882,MN,Limited Free,Time Warner Cable,40.742378,-73.988692,Outdoor,New York
883,MN,Limited Free,Time Warner Cable,40.7431,-73.9883,Outdoor,New York
884,MN,Limited Free,Time Warner Cable,40.7411,-73.987914,Outdoor,New York
885,MN,Limited Free,Time Warner Cable,40.741875,-73.987364,Outdoor,New York
886,MN,Limited Free,Time Warner Cable,40.742492,-73.986906,Outdoor,New York
887,MN,Limited Free,Time Warner Cable,40.74148,-73.98894,Outdoor,New York
888,BK,Limited Free,Time Warner Cable,40.663256,-73.976164,Outdoor TWC Aerial,Brooklyn
889,BK,Limited Free,Time Warner Cable,40.663019,-73.976292,Outdoor TWC Aerial,Brooklyn
890,BK,Free,AT&T,40.7201,-73.9502,Outdoor,Brooklyn
891,BK,Free,AT&T,40.6509,-73.9683,Outdoor,Brooklyn
892,MN,Free,AT&T,40.7729,-73.974,Outdoor,New York
893,MN,Free,AT&T,40.771,-73.9709,Outdoor,New York
894,MN,Free,AT&T,40.7721,-73.9771,Outdoor,New York
895,MN,Free,AT&T,40.768,-73.9712,Outdoor,New York
896,BK,Limited Free,Time Warner Cable,40.663094,-73.976292,Outdoor TWC Aerial,Brooklyn
897,BK,Limited Free,Time Warner Cable,40.663381,-73.976083,Outdoor TWC Aerial,Brooklyn
898,QN,Limited Free,Time Warner Cable,40.675979,-73.765364,Outdoor TWC Aerial,Queens
899,QN,Limited Free,Time Warner Cable,40.679472,-73.770693,Outdoor TWC Aerial,Queens
900,QN,Limited Free,Time Warner Cable,40.679963,-73.767752,Outdoor TWC Aerial,Queens
901,MN,Limited Free,Time Warner Cable,40.785958,-73.985075,Outdoor,New York
902,MN,Limited Free,Time Warner Cable,40.71025,-73.99798,Outdoor,New York
903,MN,Free,AT&T,40.8292,-73.9361,Outdoor,New York
904,MN,Free,AT&T,40.8048,-73.9443,Outdoor,New York
905,MN,Limited Free,Time Warner Cable,40.71025,-73.99798,Indoor,New York
906,MN,Limited Free,Time Warner Cable,40.71025,-73.99798,Indoor,New York
907,MN,Limited Free,Time Warner Cable,40.71025,-73.99798,Indoor,New York
908,MN,Limited Free,Time Warner Cable,40.71025,-73.99798,Indoor,New York
909,MN,Limited Free,Time Warner Cable,40.71025,-73.99798,Indoor,New York
910,QU,Limited Free,Time Warner Cable,40.739154,-73.737718,Outdoor,Queens
911,QU,Limited Free,Time Warner Cable,40.739353,-73.736825,Outdoor,Queens
912,QU,Limited Free,Time Warner Cable,40.739547,-73.73592,Outdoor,Queens
913,QU,Limited Free,Time Warner Cable,40.739739,-73.735041,Outdoor,Queens
914,QU,Limited Free,Time Warner Cable,40.739909,-73.73458,Outdoor,Queens
915,MN,Free,AT&T,40.7016,-74.0149,Outdoor,New York
916,MN,Free,AT&T,40.703,-74.0168,Outdoor,New York
917,QU,Limited Free,Time Warner Cable,40.740214,-73.734311,Outdoor,Queens
